2022-03-17 16:45:49,655 | Network_comissioning | INFO |  

2022-03-17 16:45:50,659 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:50,659 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:50,659 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:50,659 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:51,664 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:51,664 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:51,664 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:51,664 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:52,669 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:52,669 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:52,669 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:52,669 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:45:53,685 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:53,685 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:53,685 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:45:53,685 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,511 | Network_comissioning | INFO | serial opened
2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

2022-03-17 16:47:24,526 | Network_comissioning | INFO |  

