2022-03-20 21:33:54,235 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-21 09:50:49,334 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-21 09:51:01,611 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-21 09:51:31,697 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-22 23:05:10,811 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-22 23:07:16,507 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-03-22 23:07:43,741 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-04-10 19:19:46,669 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
2022-04-10 19:20:04,405 | Network_creation_tool | INFO | network created, ip address: 192.168.10.0/24
